DPT;CIRC;INS;VOT;BLA;NUL;EXP;EXG;PCF;FG;EELV-GR;EELV;PS-EELV;PS;DVG;GEC;DIV;ECO;REG;MoDem;UDI;UD;LR;DVD;SOUV;FN;EXD
59;15;95963;57020;1433;982;54605;1048;1740;0;2823;0;0;9607;0;0;0;0;0;0;0;15451;0;873;1769;21294;0
59;16;83186;43059;1016;650;41393;956;5915;0;1650;0;0;6396;0;0;0;0;0;0;0;6209;0;438;1163;18666;0
59;17;73763;39236;911;530;37795;664;2920;0;1717;0;0;6786;0;0;0;0;0;0;0;8280;0;455;1066;15907;0
59;18;91860;49448;1157;818;47473;764;1972;0;1518;0;0;6503;0;0;0;0;0;0;0;13925;0;450;1271;21070;0
59;19;79086;41563;883;552;40128;885;5556;0;1226;0;0;6437;0;0;0;0;0;0;0;6202;0;367;813;18642;0
59;20;81542;38503;950;658;36895;738;4308;0;1519;0;0;4716;0;0;0;0;0;0;0;7140;0;332;868;17274;0
59;21;81658;40556;799;484;39273;667;3103;0;1660;0;0;5306;0;0;0;0;0;0;0;11702;0;513;999;15323;0
60;01;82430;46472;1020;706;44746;797;1763;0;2036;0;0;6543;0;0;0;0;0;0;0;11884;0;521;1427;19775;0
60;02;88089;48339;1139;604;46596;727;1722;0;2253;0;0;5994;0;0;0;0;0;0;0;11936;0;629;1809;21526;0
60;03;73035;34915;812;366;33737;613;2600;0;1794;0;0;5619;0;0;0;0;0;0;0;7186;0;492;1280;14153;0
60;04;92130;49091;851;436;47804;475;1451;0;2484;0;0;6314;0;0;0;0;0;0;0;16586;0;1034;1889;17571;0
